-17,7,60
-17,6,61
-17,6,63
-17,5,63
-17,4,62
-17,6,62
-16,8,63
-17,7,63
-14,7,60
-14,5,60
-16,8,60
-16,5,61
-17,7,62
-18,6,63
-18,5,63
-17,5,63
-17,5,62
-17,5,62
-15,6,61
-17,8,62
-16,7,61
-16,8,60
-17,8,61
-17,7,60
-17,5,63
-18,4,62
-18,5,62
-17,6,64
-18,6,62
-16,7,62
-16,7,62
-16,7,61
-17,8,60
-17,8,61
-17,6,63
-17,5,62
-17,5,62
-17,5,62
-17,6,63
-13,6,62
-17,7,62
-16,7,61
-16,7,62
-16,7,63
-16,7,63
-17,9,63
-16,7,64
-15,7,67
-13,4,68
-14,3,69
-14,3,68
-16,3,63
-17,9,53
-18,13,56
-20,10,56
-29,-2,56
-34,-4,56
-35,-1,54
-37,5,50
-46,3,50
-38,-6,58
-31,3,54
-39,8,50
-44,1,54
-46,5,46
-39,36,34
-36,30,34
-27,8,52
-24,15,46
-27,40,52
-29,45,57
-26,37,56
-24,31,50
-19,25,40
-10,28,45
-5,41,47
-4,42,37
-9,38,33
-27,34,54
-26,18,77
-35,-34,95
-18,-20,59
-12,-11,45
-9,-12,42
-10,-10,54
-14,7,77
-19,4,76
-15,3,59
-17,2,64
-13,5,62
-14,1,59
-15,-3,61
-18,-1,62
-18,6,61
-18,6,61
-17,2,62
-19,1,61
-21,3,58
-18,5,62
-17,3,61
-15,4,66
-15,0,70
-16,2,63
-15,3,60
-15,8,61
-18,7,62
-18,5,56
-18,7,67
-17,9,68
-17,8,60
-15,8,60
-14,7,62
-13,7,63
-16,7,60
-20,3,63
-22,4,59
-20,5,60
-19,5,61
-17,4,61
-16,4,61
-16,7,61
-17,5,62
-16,4,63
-19,3,64
-18,4,63
-17,5,62
-16,7,61
-18,7,58
-16,11,59
-19,5,62
-19,9,63
-19,6,61
-18,6,61
-17,5,60
-17,4,62
-18,6,62
-17,7,66
-16,5,60
-18,9,62
-18,7,61
-18,6,60
-17,7,62
-18,6,62
-18,6,63
-18,6,61
-17,7,68
-17,4,62
-19,5,63
-18,6,60
-17,9,62
-17,9,63
-18,6,61
-18,4,64
-14,7,59
-19,5,61
-19,7,62
-17,6,61
-17,7,61
-17,6,62
-17,5,63
-18,4,62
-18,4,61
-14,9,59
-18,8,64
-17,8,62
-17,6,61
-17,7,61
-17,7,61
-17,8,62
-18,6,62
-18,5,62
-18,4,62
-17,5,62
-17,5,62
-16,6,63
-18,9,61
-17,8,59
-17,9,58
-17,8,61
-18,8,61
-18,7,61
-18,7,61
-17,5,61
-17,5,61
-17,5,62
-17,6,61
-17,7,61
-16,8,60
-17,8,62
-17,7,61
-18,7,61
-17,6,62
-18,6,61
-17,6,61
-17,6,61
-17,6,62
-17,6,61
-17,6,61
-17,7,62
-17,6,62
-17,6,61
-17,7,61
-17,7,61
-17,7,61
-17,6,61
-17,6,61
-17,5,61
-17,5,62
-17,6,62
-17,7,62
-17,6,62
-17,6,61
-17,7,61
-17,7,61
-17,6,61
-18,7,61
-18,5,62
-17,5,62
-17,5,62
-17,6,62
-17,6,61
-17,7,62
-17,7,61
-17,7,62
-17,7,62
-17,6,62
-17,5,61
-17,5,62
-17,5,61
-17,6,62
-17,7,62
-17,6,62
-17,6,61
-17,7,61
-17,7,61
-17,8,61
-17,7,62
-17,7,61
-17,5,61
-17,5,62
-17,5,62
-17,6,62
-17,6,62
-17,7,61
-17,8,61
-17,8,61
-17,7,61
-17,7,61
-17,6,61
-18,6,62
-18,5,62
-18,6,62
-17,6,62
-17,6,61
-17,6,61
-17,7,61
-17,7,61
-18,7,62
-18,6,61
-18,6,61
-17,6,62
-17,6,61
-17,6,61
-17,6,61
-17,5,62
-17,6,62
-17,7,62
-17,7,61
-17,7,61
-17,6,61
-17,6,61
-17,6,61
-17,6,61
-18,5,62
-17,6,62
-17,6,61
-17,6,62
-17,7,61
-17,6,62
-17,6,61
-17,6,62
-17,5,62
-17,5,62
-17,5,62
-17,6,62
-17,6,62
-17,7,62
-17,6,61
-17,7,61
-17,5,61
-17,6,61
-17,5,61
-17,6,62
-17,6,62
-17,5,62
-17,5,62
-17,6,62
-17,6,61
-17,7,61
-17,7,61
-17,7,62
-17,6,61
-17,6,61
-17,4,62
-17,4,62
-17,5,62
-17,6,62
-17,6,62
-17,7,61
-17,7,61
-17,7,61
-17,6,61
-18,5,62
-18,5,61
-17,6,62
-17,6,62
-17,6,62
-17,6,61
-17,6,61
-17,7,61
-17,7,62
-17,7,61
-17,7,61
-17,7,61
-17,6,62
-17,5,62
-17,5,62
-17,5,62
-17,6,62
-17,7,61
-17,7,61
-17,7,61
-17,6,61
-18,6,61
-17,6,61
-17,6,62
-17,6,62
-17,5,61
-17,5,62
-17,6,61
-17,6,61
-17,7,62
-17,7,62
-17,7,61
-17,7,60
-17,6,61
-18,5,62
-18,5,61
-18,6,61
-17,6,62
-17,7,61
-17,7,61
-17,7,61
-18,6,62
-18,5,62
-18,6,61
-17,7,62
-18,7,61
-18,6,62
-18,6,61
-17,6,61
-17,6,61
-17,6,61
-17,6,61
-17,6,61
-17,6,61
-17,7,61
-17,6,61
-17,6,62
-17,6,62
-17,6,61
-17,6,62
-17,6,61
-18,6,62
-18,6,61
-18,6,62
-17,6,61
-17,6,61
-17,7,61
